X,Y,MACH,TEMP,Pressure,h_g,FLUX
0.1033,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1064,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1094,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1124,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1155,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1185,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1216,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1246,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1276,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1307,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1337,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1368,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1398,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1428,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1459,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1489,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1519,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1550,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1550,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1552,0.0432,0.0835,3422.1076,27.4823,1531.5066,4245501.0708
0.1554,0.0432,0.0835,3422.1064,27.4823,1531.8050,4246326.5922
0.1557,0.0432,0.0835,3422.1045,27.4822,1532.3028,4247703.5447
0.1559,0.0432,0.0836,3422.1017,27.4821,1533.0006,4249633.5574
0.1561,0.0431,0.0836,3422.0982,27.4819,1533.8991,4252118.9196
0.1563,0.0431,0.0837,3422.0938,27.4817,1534.9995,4255162.5886
0.1566,0.0431,0.0838,3422.0886,27.4815,1536.3030,4258768.2006
0.1568,0.0431,0.0839,3422.0827,27.4812,1537.8113,4262940.0839
0.1570,0.0431,0.0840,3422.0758,27.4809,1539.5262,4267683.2751
0.1572,0.0430,0.0841,3422.0682,27.4806,1541.4496,4273003.5374
0.1575,0.0430,0.0842,3422.0597,27.4802,1543.5841,4278907.3825
0.1577,0.0430,0.0844,3422.0503,27.4798,1545.9323,4285402.0955
0.1579,0.0429,0.0845,3422.0400,27.4794,1548.4970,4292495.7624
0.1581,0.0429,0.0847,3422.0289,27.4789,1551.2816,4300197.3019
0.1584,0.0428,0.0849,3422.0168,27.4784,1554.2895,4308516.5011
0.1586,0.0428,0.0851,3422.0038,27.4778,1557.5246,4317464.0543
0.1588,0.0427,0.0853,3421.9898,27.4772,1560.9912,4327051.6071
0.1590,0.0427,0.0855,3421.9748,27.4765,1564.6938,4337291.8054
0.1593,0.0426,0.0858,3421.9587,27.4758,1568.6375,4348198.3489
0.1595,0.0425,0.0860,3421.9417,27.4751,1572.8275,4359786.0510
0.1597,0.0425,0.0863,3421.9235,27.4743,1577.2697,4372070.9052
0.1599,0.0424,0.0866,3421.9042,27.4735,1581.9703,4385070.1578
0.1602,0.0423,0.0869,3421.8837,27.4726,1586.9361,4398802.3891
0.1604,0.0423,0.0872,3421.8620,27.4716,1592.1743,4413287.6029
0.1606,0.0422,0.0875,3421.8391,27.4706,1597.6928,4428547.3256
0.1608,0.0421,0.0879,3421.8149,27.4696,1603.4999,4444604.7162
0.1611,0.0420,0.0883,3421.7893,27.4685,1609.6046,4461484.6881
0.1613,0.0419,0.0887,3421.7622,27.4673,1616.0167,4479214.0450
0.1615,0.0418,0.0891,3421.7337,27.4661,1622.7467,4497821.6310
0.1617,0.0417,0.0895,3421.7037,27.4648,1629.8057,4517338.4989
0.1620,0.0416,0.0900,3421.6720,27.4634,1637.2060,4537798.0979
0.1622,0.0415,0.0904,3421.6386,27.4619,1644.9607,4559236.4828
0.1624,0.0414,0.0909,3421.6033,27.4604,1653.0838,4581692.5494
0.1626,0.0413,0.0915,3421.5662,27.4588,1661.5906,4605208.2986
0.1629,0.0411,0.0920,3421.5271,27.4571,1670.4975,4629829.1337
0.1631,0.0410,0.0926,3421.4859,27.4553,1679.8224,4655604.1965
0.1633,0.0409,0.0932,3421.4424,27.4534,1689.5847,4682586.7474
0.1635,0.0407,0.0938,3421.3966,27.4514,1699.8053,4710834.5980
0.1638,0.0406,0.0945,3421.3482,27.4493,1710.5070,4740410.6032
0.1640,0.0405,0.0952,3421.2971,27.4471,1721.7148,4771383.2245
0.1642,0.0403,0.0959,3421.2432,27.4448,1733.4557,4803827.1763
0.1644,0.0401,0.0967,3421.1861,27.4423,1745.7594,4837824.1710
0.1647,0.0400,0.0975,3421.1257,27.4397,1758.6585,4873463.7809
0.1649,0.0398,0.0983,3421.0618,27.4369,1772.1887,4910844.4397
0.1651,0.0396,0.0992,3420.9941,27.4339,1786.3895,4950074.6127
0.1653,0.0395,0.1002,3420.9222,27.4308,1801.3044,4991274.1705
0.1655,0.0393,0.1011,3420.8458,27.4275,1816.9817,5034576.0105
